Site_plot,Site,Plot,Acacia_bslar,Eucalyptus_bslar,Pine_bslar,Tot_bas_ar,Lat.deci..N.,Long.Deci..E.,Canopy,Acacia mearnsii,Cestrum aurantiacum,Eucalyptus spp,Ipomea purpurea,Pinus radiata,Solanum mauritianum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Urena lobata,Malvaceae,Lantana camara,Solanum anguivi,Meliaceae,Clitoria ternetea,Desmodium uncinatum,Asparagus racemosus,Oxalis corniculata,Urticaceae,Asteraceae,Achyranthes aspera,Apiaceae,Tridax procumbens,Pteridium aquilinum,Fire,Foliage_density,TCI_2x2,Elevation,Slope,TRI,shlbfr5ha,Sine.aspect,Cosine.aspect,TWI,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,Tot_ct_tree,ln_shlbfr5ha,rds_lngth_5ha,TPI,Type1,Agerat_Eupat
BCS897_1,BCS897,1,0,0.022472678,0,0.022472678,10.2258722,77.2086301,71.4,0,0,5,0,0,0,43,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,35,-3.557608843,1489,22.33722305,30.87069893,0,0.666213358,0.745761196,-0.587786674,17.95000076,108.9,1823.8,24.75,11.35,52.5,25.3,348,3,0,293,-0.375,Eucalyptus,43
BCZ931_2,BCZ931,2,0,0.375947849,0,0.375947849,10.2193543,77.2397437,73.8,0,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-4.998429775,1567,23.2448864,33.10589218,0,-0.761939364,0.647648366,-0.587786674,18.54999924,112,1803.1,25.35,11.85,52.6,25.2,346.9,9,0,0,-1,Eucalyptus,36
BDD930_2,BDD930,2,0,0.007647395,0,0.007647395,10.2154763,77.2393207,44.8,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,-22.57657242,1567,10.16367054,15.32971001,0,-0.961523982,-0.274721009,2.086362123,17.75,112,1827.3,24.55,11.05,52.7,25.2,344.7,1,0,200,-1.875,Eucalyptus,28
BDF965_1,BDF965,1,0.260210374,0.092819163,0,0.353029537,10.2130909,77.270978,73.8,1,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,8.242478371,2252,18.73837852,29.46183968,0,-0.99264591,0.121054106,-1.280933857,14.05000019,109.9,1748.3,20.65,7.25,52.9,24.7,343.5,9,0,0,3.75,Mixed,48
BDF965_2,BDF965,2,0.351318621,0,0,0.351318621,10.2137805,77.2710469,75.6,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25.70792198,2241,7.932157993,16.4924221,0,-0.763386282,0.645942245,-1.280933857,14.05000019,109.9,1748.3,20.65,7.25,52.9,24.7,343.5,8,0,0,3.5,Acacia,41
BDG990_1,BDG990,1,0.026753946,0.625303856,0,0.652057802,10.2121937,77.2933979,36.2,43,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-4.485610485,2122,27.14015579,39.02563095,0,-0.40540078,-0.914139053,1.203972816,14.25,111.9,1719.7,20.85,7.35,53.2,24.5,346.7,8,0,0,-0.375,Mixed,80
BDG990_2,BDG990,2,0.020626481,1.195762918,0,1.216389399,10.2126137,77.2934398,27.8,0,0,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,-4.999053001,2135,27.23370743,40.19950104,0,-0.39582951,-0.918324016,1.021651268,14.25,111.9,1719.7,20.85,7.35,53.2,24.5,346.7,10,0,0,-2.5,Mixed,116
BDH977_1,BDH977,1,0.107851347,0,0,0.107851347,10.2111586,77.2817819,37.6,11,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,-18.91502953,2245,19.46007156,28.16025543,0,-0.138196198,0.990404872,1.663505197,13.75,110,1732.5,20.45,7.05,53,24.5,343.5,4,0,0,-2.375,Acacia,53
BDH977_2,BDH977,2,0.066280076,0,0,0.066280076,10.2117906,77.2819426,34.4,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-4.668277264,2233,17.93837738,24.59674835,0,-0.694369424,0.719618721,-0.587786674,13.75,110,1732.5,20.45,7.05,53,24.5,343.5,2,0,0,-1.125,Acacia,23
BDJ870_2,BDJ870,2,0,0.212081919,0,0.212081919,10.2101909,77.1842761,54,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0.009731694,1396,27.04978561,39.92493057,47173,0.358979123,0.933345589,-0.182321563,18.85000038,105.5,1975.8,25.75,12.25,52.9,26.5,351.5,6,10.76159817,0,-3,Eucalyptus,0
