,Site_plot,Lat.deci..N.,Long.Deci..E.,Acacia mearnsii,Cestrum aurantiacum,Eucalyptus spp,Ipomea purpurea,Pinus radiata,Solanum mauritianum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Urena lobata,Malvaceae,Lantana camara,Solanum anguivi,UID1,Meliaceae,Clitoria ternetea,Berberis tinctoria,Desmodium uncinatum,Asparagus racemosus,Oxalis corniculata,Urticaceae,Asteraceae,Achyranthes aspera,Apiaceae,Tridax procumbens,sp124858,Vincetoxicum sp,Sp12254,Sp120529,sp110222,sp105132,sp122024,sp124847,sp113255,pilea wightii,sp101440,Pteridium aquilinum,No_pic,Site,Tot_bas_ar,Canopy,Fire,TCI_2x2,Slope,TRI,Sine.aspect,Cosine.aspect,TWI,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,Ln_elevation,Tot_ct_tree,ln_shlbfr5ha,rds_lngth_1ha,TPI,Type2,Moss,Elevation
1,BCS897_1,10.2258722,77.2086301,0,0,5,0,0,0,43,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,BCS897,0.022472678,71.4,0,-3.557608843,22.33722305,30.87069893,0.666213358,0.745761196,-0.587786674,17.95000076,108.9,1823.8,24.75,11.35,52.5,25.3,348,7.305860033,3,0,43,-0.375,Eucalyptus,10,1489
2,BCZ931_2,10.2193543,77.2397437,0,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCZ931,0.375947849,73.8,0,-4.998429775,23.2448864,33.10589218,-0.761939364,0.647648366,-0.587786674,18.54999924,112,1803.1,25.35,11.85,52.6,25.2,346.9,7.356918242,9,0,0,-1,Eucalyptus,10,1567
3,BDD930_2,10.2154763,77.2393207,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,BDD930,0.007647395,44.8,0,-22.57657242,10.16367054,15.32971001,-0.961523982,-0.274721009,2.086362123,17.75,112,1827.3,24.55,11.05,52.7,25.2,344.7,7.356918242,1,0,33,-1.875,Eucalyptus,10,1567
4,BDF965_1,10.2130909,77.270978,1,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,BDF965,0.353029537,73.8,0,8.242478371,18.73837852,29.46183968,-0.99264591,0.121054106,-1.280933857,14.05000019,109.9,1748.3,20.65,7.25,52.9,24.7,343.5,7.719573989,9,0,0,3.75,Acacia-Eucalyptus,30,2252
5,BDF965_2,10.2137805,77.2710469,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BDF965,0.351318621,75.6,0,25.70792198,7.932157993,16.4924221,-0.763386282,0.645942245,-1.280933857,14.05000019,109.9,1748.3,20.65,7.25,52.9,24.7,343.5,7.714677474,8,0,0,3.5,Acacia,30,2241
6,BDG990_1,10.2121937,77.2933979,43,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,BDG990,0.652057802,36.2,0,-4.485610485,27.14015579,39.02563095,-0.40540078,-0.914139053,1.203972816,14.25,111.9,1719.7,20.85,7.35,53.2,24.5,346.7,7.660114319,8,0,0,-0.375,Acacia-Eucalyptus,10,2122
7,BDG990_2,10.2126137,77.2934398,0,0,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,BDG990,1.216389399,27.8,0,-4.999053001,27.23370743,40.19950104,-0.39582951,-0.918324016,1.021651268,14.25,111.9,1719.7,20.85,7.35,53.2,24.5,346.7,7.666221926,10,0,0,-2.5,Acacia-Eucalyptus,10,2135
8,BDH977_1,10.2111586,77.2817819,11,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BDH977,0.107851347,37.6,0,-18.91502953,19.46007156,28.16025543,-0.138196198,0.990404872,1.663505197,13.75,110,1732.5,20.45,7.05,53,24.5,343.5,7.7164608,4,0,0,-2.375,Acacia,30,2245
9,BDH977_2,10.2117906,77.2819426,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,BDH977,0.066280076,34.4,0,-4.668277264,17.93837738,24.59674835,-0.694369424,0.719618721,-0.587786674,13.75,110,1732.5,20.45,7.05,53,24.5,343.5,7.711101252,2,0,0,-1.125,Acacia,60,2233
10,BDJ870_2,10.2101909,77.1842761,0,0,0,0,0,0,0,7,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,BDJ870,0.212081919,54,0,0.009731694,27.04978561,39.92493057,0.358979123,0.933345589,-0.182321563,18.85000038,105.5,1975.8,25.75,12.25,52.9,26.5,351.5,7.241366283,6,10.76159817,0,-3,Eucalyptus,10,1396
